labels,tweets
not_hatetag,estou cheia de saudade do beijo da minha mulher
not_hatetag,ingresso comprado eu estou tão feliz mano
not_hatetag,essa é a primeira delas
not_hatetag,fui para faculdade com um pé de chinelo diferente do outro
not_hatetag,a che respondeu meu comentário eu ri muito
not_hatetag,catherinecahgp isso tudo eu cumpro com prazer adoro esta vadiagem
not_hatetag,microsoftajuda windows ink está me troando suporte
not_hatetag,senhor me dá força eu confio em ti
not_hatetag,se não fosse pela novela eu ja teria ido dormir
not_hatetag,como assim só tem nescau pequeno no mercado
not_hatetag,larrysantoos cara oliveirakavy olha só
not_hatetag,acho que nem a novela vou ver hoje só quero dormir e esperar o finde
not_hatetag,brunonu ela joga na minha cara até hoje sério
not_hatetag,moraisanni vamos vou ir bonitão então também
not_hatetag,acho tão legal conversar com alguém por sms pena que eu não tenho ninguém para conversar por sms
not_hatetag,tirei homem formiga nas ruas pantera negra na cama
not_hatetag,não acredito que achei algo legal para assistir
not_hatetag,jamé que eu vou deixar alguém ser para mim mais do que eu mesma sou está loco
not_hatetag,fazia tempo que minha tpm não me acertava em cheio que nem hoje ou as pessoas que estão ficando mimizentas
not_hatetag,a mina caiu de bike ou apanhou
not_hatetag,não houve nada que justifique a denúncia isso não é possível cara
not_hatetag,ilusão maior que essa do anti cristo se achando um deus não tem minha gente apocalipse
not_hatetag,eu sou tão apaixonada por elijah
not_hatetag,luiz e muito abusado só por causa disso se não chover amanhã vou pertubar ele o dia todo
not_hatetag,mano eu me envolvo muito com meus sonhos que horror
not_hatetag,estou muito afim de larga para praia e virar a noite para ver o sol nascer
not_hatetag,vamos tomar açaí eu pago melhor mensagem dessa noite
not_hatetag,milenavivs yasmimkru ai droga cara
not_hatetag,entrei no meu cc e tinham várias perguntas obrigado a pessoa que enviou
not_hatetag,preciso de arminhas de agua alguem tem
not_hatetag,era para mim começar a completar os vistos de português às horas são hoje e ainda estou deitado
not_hatetag,não vou ir para escola amnh não
not_hatetag,gente alguém sabe algum hospital que aceita doação de sangue de quem tem  anos quero muito doar
not_hatetag,sentada do der vendo o arex trabalhar apenas existindo
not_hatetag,sdd quando eu podia andar a beça agora muito mal do quarto para banheiro
not_hatetag,treino funcional acaba com a vida
not_hatetag,tão ruim ver que minha irmã vai quebrar a cara mas aquela anta não me escuta
not_hatetag,a minha xtina está viva viva
not_hatetag,hoje eu estou só esse cachorrinho
not_hatetag,gbrieloliv vou ver assim que cabar o jpgo
not_hatetag,gente mas alguém me esclarece se está escrito na minha testa mongoloide
not_hatetag,estou com cólica em minha nossa senhora
not_hatetag,é tao fofo quando o nene manda emoji ele explica a vida com emoji
not_hatetag,urubudetreta me discurpa eu não queria sofrer sozinha
not_hatetag,saudades de quando eu cagava para escola
not_hatetag,e quando voce vem tudo fica tranquilo
not_hatetag,voce com certeza é a mais escandalosa suas gírias fazem falta inhame
not_hatetag,cara eu tenho que aprende a dirigir carro urgente
not_hatetag,drinking a só saison by brauns bier at growlexgrowler photo
not_hatetag,tbt de uns dias ubatuba praia litoralnortesp ferias sol
not_hatetag,joga fc quadra da 
not_hatetag,é muito louco quando a gente transa só não me faça esperar
not_hatetag,tem coisas que eu não consigo compreender é demais para minha cabeça
not_hatetag,natieligoulart voce que é muito linda coração
not_hatetag,é bonito perceber que estamos tão diferentes mas somos as mesmas é lindo e
not_hatetag,weinheimer amanhã eu vou aí te levo um chocolatinho para melhorar
not_hatetag,oi gente vamos se mata na promoshare da sambari
not_hatetag,aonde o brasil vai parar
not_hatetag,já que ninguém fala comigo e eu não estou fazendo nada
not_hatetag,jongminyix thepornchanyeol foi o que eu disse se voce pensou em outra coisa não é culpa minha
not_hatetag,arrumei um fone muito trem é tão alto que me sinto no baile
not_hatetag,mulher tadinha já ganhou alta ela e a bebê dela mas o marido foi embora com a roupa dela e nunca mais voltou
not_hatetag,larissarmanho eu amo um homem e ele se chama bita
not_hatetag,eu sou tao flop que eu estou conversando comigo mesma na fucked up internettt
not_hatetag,fc não tive a oportunidade de conhecer apesar de ser amigo dos meus amigos
not_hatetag,já estou em casa por isso
not_hatetag,sinceramente eu gosto de ver isso ai que voce está fazendo
not_hatetag,desisto de estudar fazer meu trab
not_hatetag,sexta feira e queria está assim com o menino que eu gosto
not_hatetag,instagram e facebook são as redes sociais oficiais da passassão
not_hatetag,chininha príncipe amor a três
not_hatetag,quero voltar para  logo socorro ja estou saturada de sorocaba
not_hatetag,alvescrislavin quintal gourmet no boca virgem
not_hatetag,vestido branco e open de xixa
not_hatetag,eu vou vender meu ingresso de hoje num é possível
not_hatetag,rickyalexandre mas ela merece mais porque ela me aguenta a  anos
not_hatetag,estou com uma listinha de todos filmes marvel que não acompanhei para ver em ordem cronológica
not_hatetag,daniesakura pior que engordei e ela está se esbaldando
not_hatetag,eu estou parecendo uma passivona nessa foto
not_hatetag,partyjikookshipper não estou entendendo nada porém continuo firme enaltecendo os namorados
not_hatetag,vei a hingles não presta nadinha
not_hatetag,antônio demora um século para me responder e depois fica reclamando que eu que demoro
not_hatetag,boobob como ter uma amizade saudável
not_hatetag,estava falando com a minha irmã chamada de video
not_hatetag,dei uns amei na foto da gata reparei bem e tinha mais uns  amei se é para disputar assim eu desisto
not_hatetag,eu me arrumando e minha mãe vai lá na esquina ushdhshdh e eu não hoje é na ramiro
not_hatetag,babiramires serassi que é muito recíproco tudo isso sim ou claro
not_hatetag,micheletuita cara não sei o que é mas que bom que está feliz
not_hatetag,que inferno posso nem nn querer almoçar e jantar que eles infernizam a minha vida
not_hatetag,sensacionalista aprendeu direitinho com a ex presid anta
not_hatetag,hoje ela vai fugir com o
not_hatetag,mas só de pensa na quela dor de novo ai
not_hatetag,eu estou toda cagada e indecisa socorro
not_hatetag,acho que vou lá em bangu amanhã
not_hatetag,lembrei do dia que fui me olhar no vidro do carro e tinha um casal deitado agarradinhok mó vergonha mane
not_hatetag,cruzeiro ajuda o menino aí
not_hatetag,acabou de publicar uma foto em unifor universidade de fortaleza
not_hatetag,rafaelcoimbrado nem para ser o marcos rocha
not_hatetag,amanhã é dia de jogo espero quero amanhã saia nossa vitória
not_hatetag,vamos jogar contra o cuzao e o técnico chorão
not_hatetag,oderafaela no caso são o sacrifício
not_hatetag,eu nem sou melosa eu hein
not_hatetag,vontade de tomar uma cerveja e fumar um nargui
not_hatetag,com isso venho por meio desse comunicar que comprei hoje minhas passagens para 
not_hatetag,juliana ficou encantada com o copo
not_hatetag,estou com uma vontade louca de comprar açaí fridaysdvfcs
not_hatetag,eu não queria sair de casa hoje não é mas minha prima chegou me chamando para sair a que tentação
not_hatetag,ridículo demais a atitude da sony e da santa monica
not_hatetag,litro de água antes de dormir
not_hatetag,pensando se vou arrumadinha ou não no rolê d amanhã
not_hatetag,o brasil está totalmente entregue às milícias
not_hatetag,julianagalvan seria meu sonho simm
not_hatetag,quero ir em três lugares porto de galinhasmaragogi e praia dos carneiros como faz isso com um dia de folga
not_hatetag,aprendi a me importar comigo e mais ninguém
not_hatetag,só eu que acho que usar um vocabulário totalmente formal fica engraçado
not_hatetag,olha eu não costumo ser organizada mas minha prova ficou tão organizadinha que deu até vontade de tirar foto
not_hatetag,meo boa zeca felicidades ao casal
not_hatetag,gente eu estou rindo muito que dó
not_hatetag,eu tenho certeza absoluta que rinite foi criada pelo demônio sério
not_hatetag,vontade de sair eu tenho eu só não tenho renda
not_hatetag,minha mãe foi caminhar e me deixo na rua
not_hatetag,acho que essa foto não ficou boa
not_hatetag,nitaquera vamos lá amanhã apoiar o tricolor
not_hatetag,karine veio aqui e vazou rapidinho nem deu para nós cnvs por causa da grt
not_hatetag,minha mãe brigando com minha tia porque ela não quer baixar o tinder aí que sarro
not_hatetag,não menosprezando o pão com ovo porque eu acho topssimo
not_hatetag, não conheço mas parece ser legal
not_hatetag,crisdutra vejah da o toque dai
not_hatetag,eu amo super junior demais
not_hatetag,é muita mina pão com ovo se achando burguer king
not_hatetag,eu estou muito triste slc
not_hatetag,valeu a pena porque me enchi de pizza
not_hatetag,mafacundes voce é mais crackuda que eu
not_hatetag, gigante nordestino in nova iguaçu rio de janeiro
not_hatetag,parabéns hoje vai para nossa amiga lara nogueira pela aquisição do c origine
not_hatetag,sadjessi olha voce é sonsa
not_hatetag,não aguento essa minha cunhada botando funk e aprendendo a cantar
not_hatetag,tive que pedir uma pizza da califórnia acho que estava com desejo
not_hatetag,o médico mandou eu ficar de repouso mas quem disse que eu não vou na festa de rb
not_hatetag,dudafariias  eu te amoo
not_hatetag,mas no sonho tinha caído a internet e não fiquei sabendo se foi gol ou não
not_hatetag,gata beba desse meu licor sinta o gosto do nosso sucesso
not_hatetag,marília mendonça no multishow machuca
not_hatetag,eu tenho mais garantia de emprego que vocês 
not_hatetag,passei o dia com as minhas gordinhas puro amor
not_hatetag,lucasrodolfo muito lindo nem parece que caga
not_hatetag,me apaixonei pelo que inventei de voce
not_hatetag,minha cunhada acabou de pedir pizza
not_hatetag,minha mãe vai fazer doce de banana só para eu ficar mais gorda
not_hatetag, a  vasco jogou muito
not_hatetag,clauddiogalo voce está pisando em águas rasas
not_hatetag,alô ragazzo por favor aumentem a quantidade de antepasto no couvert pois sempre vem muito pão e pouco molho obrigado
not_hatetag,da luz eu sou na luz eu me movo em praia do
not_hatetag,sinusite ataca novamente noite vai ser longa
not_hatetag,um dia de encontros e reencontros adorei ver
not_hatetag,njavorski oi tudo bem estou t devendo uma
not_hatetag,time da ponte zoando o guarani ah
not_hatetag, ponto no cartola  jogadores sendo  do goleiro
not_hatetag,baet photoday em clube celp
not_hatetag,queria uma  e uma evoke
not_hatetag,não pode mexer no celular perto da anthonea gentela fica tentando levantar e fica estressada para pegar o celular
not_hatetag,felipecim em instituto federal catarinense campus ibirama
not_hatetag,satoleo oh seu idiota o conselho acaba   ate o hoje tem aula
not_hatetag,longe do rabo e perto do chifre cara
not_hatetag,rascaique olha que eu broto heim
not_hatetag,ricaperrone um dos melhores em campo aquiégalo
not_hatetag,meu irmão tau de tauan descegelo em condominio
not_hatetag,amanhã tem maraca graças a deus
not_hatetag,eu já sou uma pessoa difícil e tem gente que não colabora
not_hatetag,salvar pessoas caçar coisas o negócio da família
not_hatetag,minha mãe me arrastou aqui para casa da carla
not_hatetag,queria que tudo desse certo
not_hatetag,é até clichê falar que a salvação dos clubes está na base falta os treinadores abrir suas mentes e ouvidos para escutarem isso
not_hatetag,eu quero prioridade opção eu tenho varias
not_hatetag,um brinde a lei do retorno porque dela ninguém escapa
not_hatetag,quase infartei com esse game
not_hatetag,carvalhohalan foi mal no o gol do galo olhou a bola passar
not_hatetag,rolê das meninas aqui em casa cancelado e eu só nos filmes agora
not_hatetag,assistir série para não chorar ne
not_hatetag,às vezes eu me pergunto como meus amigos tem paciência para me aturar
not_hatetag,tudo pronto para amanhã em curitiba brasil
not_hatetag,piada a essa hora
not_hatetag,sonhei que estava me casando e acordei no desespero vida de casado é boa só perde para de solteiro
not_hatetag,conheça geni e outras pessoas interessantes perto de voce quando entrar no badoo
not_hatetag,palouma cammss cara berro amiga
not_hatetag,meu irmão mais novo indo para o sambaha e eu aqui deitada esperando a novela começar
not_hatetag,agora sim nossa primeira viagem casados te amo em leite lopes airport
not_hatetag,matheusfgalo impossível achar alguém pior que ele mesmo
not_hatetag,el hombre esta de volta
not_hatetag,está chato demais só empatar contra o rosário se for assim é mais uma iluminação heim saopaulofc
not_hatetag,cheguei do trampo embora botar as breja a gelar que daqui a pouco tem junçãozinha com o pessoal do serviço e depois festinha
not_hatetag,agora deu frio na barriga
not_hatetag,não aguento mais esse trabalho de microbiologia
not_hatetag,andin essa gente fica me chamando de cristianee que ódio
not_hatetag,depois desse culto só papa e dormir melhor forma
not_hatetag,nada acabará com o nosso jogo nem mandinga
not_hatetag,quando eu digo que vou sair para beber acontece tudo errado  ou certo foi bom foi mara
not_hatetag,weseygon por um momento eu viajei para o japão aliado
not_hatetag,se não sente não mente
not_hatetag,e os anjos cantam nosso amor
not_hatetag,lucashanashiro e o kucherov ganha menos de uss m
not_hatetag,tentar tenho amor preguiça de ficar tirando foto mas suave
not_hatetag,estou morta louca para dormir
not_hatetag,só  musicas payol  in nova iguaçu   desaerika rafacrvgg
not_hatetag,ainda em temponde registrar e agradecer o carinho de sempre que liege
not_hatetag,cara eu estou com muita vontade de transar
not_hatetag,tudo normal em pernambuco o maior do nordeste vencendo os menores perdendo boa noite
not_hatetag,gremiosac a cópia do grande de milão
not_hatetag,mentira em cima de mentiras
not_hatetag,mágoa a pessoa precisa tomar cuidado para não acumular uma bagagem de mágoas
not_hatetag,ai como é nom mitar risos
not_hatetag,yayabjs custa nada me dar um pedaço cara
not_hatetag,passei o dia cuidando do acho tão ruim quando ele passa mal assim
not_hatetag,estou dando uma olhada na mh galeria e só tem foto que o miguel tira meu fã
not_hatetag,tão linda o meu amor
not_hatetag,e para o seu coração não ia ser ninguém
not_hatetag,time do grêmio deita em campo é o time a ser batido
not_hatetag,estourou o pingente da minha corrente e nem vi onde foi parar quem achar pode vender para tirar uma moeda cara
not_hatetag,é gratificante demais ver um jogo em um templo sagrado maraca é demais em
not_hatetag,boa noite flamengo lider brasileiro rio carioca fla em rua irineu marinho
not_hatetag,meu talento da sinuca voltou
not_hatetag,eu comi tanto que eu não sei se choro ou se faço um chá
not_hatetag,só posso ter cara de otária
not_hatetag,o lado bom do jam trabalhar no hospital é que ele já trouxe um monte de luvas cirúrgicas para eu ir treinando
not_hatetag,e ele sorriu começamos nossa trajetória no brasileirão com o pé direito
not_hatetag,casa nova da minha irmã está quase pronta
not_hatetag,não sonhe ouse com os seus sonhos
not_hatetag,já que não teve baile da quality ontem teve baile do grêmio hoje compensou
not_hatetag,essa espera até hoje para começar westworld mata hein
not_hatetag,talvez não seja caso de demissão do treinador mas de reflexão
not_hatetag,agradeço a todos que lembraram e me cumprimentaram pela passagem de mais um ano de vida borá fazer esse novo ciclo melhor ainda
not_hatetag,quero uma melhor amiga para isso
not_hatetag,essas trevinhos sao boas hein
not_hatetag,estou muito triste cebit me da  mil reais
not_hatetag,proxima eu vou meu mano estamos junto
not_hatetag,estudando para no final do dia chegar a conclusão de que não sei de nada mesmo
not_hatetag,rafeduarda qual dos lucifer sim não é porque olha
not_hatetag,está muito chato ser gremista cara
not_hatetag,como é que a gente fica
not_hatetag,paomanakamura sério cunha preciso de uma câmera dessa urgente
not_hatetag,abri tanta latinha de cerveja ontem que quebrei uma unha
not_hatetag,e lá vem mais olha que absurdoo
not_hatetag,neitaty apaula tem sima cura é ver o time do grêmio jogar
not_hatetag,sportrecife ótimo resultado não foi um bom jogo mas valeu pelos pontos conquistados
not_hatetag,wagnerweber único argumento que vocês tem que piada colorado e tudo igual mesmo não aceitam os fatos ahha amargos
not_hatetag,vi uma coisa muito sem querer no insta agora cara
not_hatetag,era só essa ceia mrm para ficar mec
not_hatetag,tadinho do danilo deixo ele doido com monte de mensagem que eu mando de uma vez só
not_hatetag,nunca tem jeto stop beer point in são joão de meriti rio de janeiro  rafaeuna resendefrann rafaeltwelve
not_hatetag,time paulista e carioca querendo ter moral é até engraçado cara
not_hatetag,anacclarac tem planos de voltar para faculdade
not_hatetag,dalvivini sim ainda mais esse pescoço kilometrico
not_hatetag,aquela foto da vitória parabéns time vocês arrasaram somosvikings
not_hatetag,eu começo estudando as hegemonias do capitalismo e termino estudando métodos de investimento na bolsa
not_hatetag,grêmio  cap só mostra a grandeza da vitória do palmeiras hoje
not_hatetag,ótima experiência em fast food em b burguer
not_hatetag,teve até reportagem com roberto cabrini não é
not_hatetag,urublog pelo amor de deus treinador de faísca
not_hatetag,mano que isso está rolando a festa fantasia famous peoples
not_hatetag,enquanto voce lia mais um gol do mirassol
not_hatetag,se eu passar pelo vale acharei conforte em teu amor pois eu sei que és aquele que me guarda me guarda
not_hatetag,minha vó veio aqui em casa me trazer café eu amo minha veinha
not_hatetag,amercedinha mas e aquele do natal que durou  dias
not_hatetag,meu filho está cheio de febre está com o corpo todo mole e as bochechas rosadas cara parte meu coração vê ele assim
not_hatetag,dormi a tarde inteira socorro
not_hatetag,dia dos namorados está chegando e estamos como
not_hatetag,jornalnacional igualmente para todos vocês aí também e um excelente começo de semana tudo de bom
not_hatetag,estou vendo um filmezin na netflix salvando essa segunda ruim de rolé
not_hatetag,meu bem eu já nasci zoada só me resta aceitar
not_hatetag,passei o final d semana na casa da melhor pessoa do mundo mas qd tive que vir embora ja bateu a sdd
not_hatetag,francoluiz mais um nãopf cara
not_hatetag,haronkieras gabezane fumar faz mal fumar piteiras eu digo
not_hatetag,ela fumou do meu balão e perdeu a noção jogando o tcheka para chamar mnh atenção
not_hatetag,boa noite meus queridos amigos que curtem está página obrigado pelo carinho
not_hatetag,exatamente deus m defenda dessas crianças mimadas
not_hatetag,vi l ontem estava com saudades
not_hatetag,simplesmente por falta de atenção
not_hatetag,pedir desculpa dá um alívio na alma não é tira um peso tão grande da gente
not_hatetag, eu estava com muitas saudades de falar com o cadu melhor professor ever
not_hatetag,privacidades e tem gente que acredita muito
not_hatetag,só sei querer comer e dormir
not_hatetag,luca sempre eu tendo que procurar mas vai te fraga aqui tu não tem moral nenhuma
not_hatetag,manuestevez karolbispo falam demais lá na festa estava chamando pela menina muito amor ainda pô
not_hatetag,juliarodrigues é olimpíada de matemática do poli
not_hatetag,na minha sala só tem doente
not_hatetag,quero foto desses quatro juntis agora metgala
not_hatetag,angelicavalebra essa mulher é maravilhosa
not_hatetag,preciso assistir dead pool esse mês no cinema
not_hatetag,de quem tocou os pés no céu
not_hatetag,vamos estudar porque eu ainda tenho esperança de ficar rica risos
not_hatetag,tenho número de várias pessoas só para ver stts mesmo porque conversar não converso com ninguém
not_hatetag,ladyslaters tacava o terror na vizinhança
not_hatetag,vocês cansam a beleza que eu não tenho
not_hatetag,que saudades do meu aniversário agora vem o da minha mãe
not_hatetag,rabelohenry não entendi o porquê o ahan
not_hatetag,só ganho do meu moleque mesmo no fifa risos
not_hatetag,gabvasa pode se considerar um digital influencer
not_hatetag,não tenho ranso tanto que o defendi diversas vezes exemplo renovação de contrato
not_hatetag,gabiihpimenta saber ouvir e ajudar os outros
not_hatetag,sansilva reinatos neurotica pai dá aula
not_hatetag,viteduarda então vamos marcar a consulta
not_hatetag,amigos essa é a cena que eu sempre esperei na série toda prisonbreak
not_hatetag,minha frase vai ser estou chegando no terminal galera
not_hatetag,premiereline não apenas corrigindo o que era para ser a obrigação de vocês
not_hatetag,folha que complete  anos
not_hatetag,falta menos de um mês para o vestibular já estou nervosa
not_hatetag,da um ódio esse galera que não vai no tema do metgala
not_hatetag,olha para mim pode enxergar todo amor do mundo eu vou te dar
not_hatetag,hawkbruna belinhainez ajulysantos whindersson afinal ninguém vem dizendo se presta ou não a gente descobre no convívio ou com alguma atitudes
not_hatetag,vou frita batata estou cheia de fome
not_hatetag,mathewscoutinho falo nd para voce mathews
not_hatetag,opagabii eu não faço drama
not_hatetag,gsouza shopping nova iguaçu in nova iguaçu rio de janeiro
not_hatetag,esterosilv voce que começou demonia
not_hatetag,eu imagino um mundo belo assim com voce do lado
not_hatetag,matheuscarva mentira que a gabi bebeu também
not_hatetag,vander paga uma para mim
not_hatetag,a pronto agora é culpa minha que a madame é o amor da minha vida e não sai da minha cabeca
not_hatetag,lucaspinkz quere eu queria mesmo
not_hatetag,acabou de publicar uma foto em funeraria carvalho
not_hatetag,eles estão deixando a gente sonhar
not_hatetag,estou feito com essa prof particular
not_hatetag,como é que a gente pega as coisas
not_hatetag,é melhor sozinho dq mau acompanhado papo reto
not_hatetag,tentamos não é porque meu joelho não ajudou
not_hatetag,só fico no vácuo sou uma decepção
not_hatetag,primeira vez que cayque viu ele se assustou
not_hatetag,jucristina vestido cinza batonzao vermelho era tu po
not_hatetag,eu me arrepio todinha com o vídeo da minha da formatura militar
not_hatetag,nunca mais pego as coisas para fazer também
not_hatetag,e essa gripe que não passa nunca
