text,sentiment_class
"Grand Opening - Thursday, September 13th, 2018 at 5pm.",positive
"The address leads to an office park. Go behind all the work one/ excel center/ etc to find the haunted house. There will be a small blinking sign.

Its the dark armies building",negative
Awesome Mall,positive
COME NOW!! Running anniversary specials till 1/31/18. 30% off lunch and 20% of dinner!,neutral
Bartender Natasha might be the hottest woman tending bar on the planet.,neutral
"this place is closed.

Edit: They've been reopened for a while now. Great place. Stop by!",positive
Consistently amazing.  Always dine in.  Everything is delicious.  Wonderful for every occasion.,positive
If you walk in here and can't find a table then you're better off going somewhere else otherwise you'll be here a lot longer than expected!,positive
Center City Comedy 2012!!,negative
"Steak taco wrap is gross, cheesesteak-esque sliced steak & hot lettuce, no real flavor",positive
Easy to make reservations on open table.,positive
Amazing! I never new that I fried oysters can be so yummy!,positive
Delicious,positive
They serve mimosas for breakfast! And menudo on the weekends!,neutral
A very challenging golf course,positive
"Really enjoy the food here, had the subs and calzones.",positive
My go-to location for regular maintenance :-),positive
Amazing sushi. Great prices. Terrific wait staff!  Nice atmosphere. Simply perfect!,positive
Good pizza,positive
The broiled scallops are great.,positive
Meerkats are lazy!,negative
Great specials during the game! :) wings are in my future....,positive
Wings and pretzels!,neutral
Big portions of great food.,positive
Reopend in its former location. http://us7.campaign-archive2.com/?u=1892b7c1593d990931dfa1bd6&id=45104e1a7d,neutral
Best church in Nashville! These people know how to love like Jesus!,positive
Don't come here if you want good service. Concept is lost here.,positive
I love the location,positive
Pricey but yummy cold brew!,negative
"A great tip is to ignore the tip that says ""horrible.""",negative
Freaking awesome omelettes! You should try their salads also.,positive
I'm a regular!,neutral
This Wendy's is trash.,neutral
ALL VersaSpa!!! I am in heaven!!,neutral
"Try the pesto omelette, it's delicious!",positive
Great hookah and good food,positive
"Happy Hour M-F 2-6pm 1/2 pizza , flatbread",positive
"Fantastic deviled eggs, pork bellied tacos!!",positive
I love Tiffany's! Definitely ask for John bc he is very gracious and will show you everything and even tell you the history of Tiffany if you ask him! I'm glad NOLA finally has a Tiffany's!,positive
"Great sales, nice way to spend the day with mom",positive
Trash,neutral
Beware I went last week 9/15/16 and they are TEMPORARILY CLOSED due to repairs. It didn't list a reopen date. :-(,negative
Excited,positive
Java City in the lobby is nice,positive
Good alternative food source. Grocery store plus hot bar and deli. Sometimes food is a lil dry like salmon but if u go at the beginning of lunch rush u should be good.,positive
Having an SKB Oktoberfest and sending positive thoughts to the boys out at GABF!!!,positive
Half off popcorn on Tuesdays with Regal card. Free refills on large only.,positive
Shwag. Mediocre at best.,positive
Salmon Salad is sooo good with the ginger soy dressing.,positive
Amazing,positive
Just get the onigiri (rice triangles),neutral
Poorly managed.  Drive through is horribly slow.,negative
Raspberry iced tea with mint and lemon saves lives.,neutral
The beer is wonderful,positive
Great food and service! Music was awesome! Love supporting Sweetie Pies!,positive
Always a good time,positive
Love the Saganaki and Gyros are the best,positive
"Do the happy hour, DO IT.",positive
Gets crowded after 9pm on weekend. Definitely make reservations!,neutral
just brought a green tea cake today，found a butt in it，that was Disgusting。,negative
50 cent corn dogs all day may 23,neutral
Anyone know if they are actually reopening?,neutral
50 bucks from NE Philly to airport,neutral
Turkey wheatberry salad is tasty.,neutral
Very good hotel.  Clean rooms.  Decent breakfast buffet. Excellent location.,positive
Erika at the bar is the bomb!!! She is so accommodating!,neutral
A lot of nice things.,positive
Yemen is delectable!,neutral
"Love their food 
Burgers, chili cheese fries & chicken",negative
"Great service and lovely menu.  I recommend this place fully!  Eggs are light and fluffy. Our server, Nic has a great smile and was welcoming",positive
$10 dollar select entrees on Mondays!,neutral
Very good,positive
Great service! Always friendly and professional,positive
"Best service, friendlly staff and for the guys...very attractive ladies..lol..had to throw that in..just because I think we(guys) need to look good for our ladies. So don't be shy or afraid and cime get your toes did.",positive
Always crowded but always worth it!,positive
"Bonuts, princess!! Can't go wrong.",negative
"Go to Hudson's, or Central instead. Drunk staff, bad service, decent/over priced selection. Don't let it ruin your evening.",negative
Peep doughnut again,neutral
#1 Chorizo breakfast burrito for $5.49,neutral
This guy is a complete dick head douche bag.,positive
"Great service, great food, love this place!",positive
I've dined here for the complimentary continental breakfast provided by Renaissance hotel. The servers here are really nice! Much nicer than the concierge staff at the hotel. Great customer service at Mila!,positive
"In town & was looking for a local steak joint. Ran across Tucker Place & glad I did. The converted house has a great tucked away feel. The staff is warm & friendly and the beer selection is nothing to shake a stick at. 
I ordered the Wednesday special a center cut sirloin which includes salad & baked potato. The steak came out just the way I would cook it at home & the potato was great. 
All & all a good experience & will return next time in town.",positive
LOVE this boutique and I never leave without finding something for me!!!,positive
Natalie is a great bartender..cute dimples too!,positive
You can be all touristy and get their paper hats for 15 cents a piece! Makes for cute pics :),positive
Supporting the locally owned:),positive
The gorgonzola and pear spread in the deli is awesome!,positive
Very cheap food. Stay away please. Dont buy sick,negative
90 min and still no food.  Might be good or might not.  Gotta have some to know,positive
warning: this place is not vegetarian/vegan. the vegetarian rice and beans contain chicken,negative
Great selection! Better prices!,positive
"Good food, good service. Well prepared",positive
Bottomless mimosas and Bloody Mary's can't be beat!,negative
Great indoor/outdoor seating.,positive
Regular : $3.73/gal.,neutral
"Great seafood, right along the river walk area. Check out the glass jellyfish lights too :)",positive
"The place looks very nice, the staff was helpful, but i can only speak to take out pho. The broth is nothing special (watery, not much flavor). You'll get tastier broth, a better deal ($2 less for pho thai chin) and food at Nam Som.",positive
"Love it!! I got a groupon and the owner fit me in bc I had an event. Once there she used all OPI products which no one does that I've been to before. Super clean, timely and nice. I will definitely be switching out my green hills spot for this one! Tricky entrance but totally worth it. Great service",positive
Good daiquiris,positive
"Wowwww
Amazing.
Everything was beyond exemplary.",positive
Game prices went up by a lot. I guess we're heading back to Reno hotels because the Game Center used to have the best play prices,positive
Great authentic Mexican food. I love the variety of hot sauces on the table.,positive
Glad they ask if the happy meal is for a girl or boy. Some places assume.,positive
"Hold different exhibits of science, history and art.",neutral
I know I know 99% of my tips are about The Ohana Breakfast LOL...don't judge me...there are amazingly delicious :)  soft...tender...tastylicious,positive
If they are busy sit inside because you can still see the sunset and dint have to worry about the long waits.,positive
"This office is in suite 418 on the 4th floor, *not* in suite 710.",neutral
"Sit in the grass, bring a picnic basket!",neutral
Nice crew and well cared for boat.,positive
Great Breakfast,positive
15% off your first purchase when you check in on Yelp!,positive
Base bites 9 to close! Can't beat it!,negative
"They are able to take reactive dogs and pit bulls. If your dog stays overnight, you can pick your dog up before noon the next day and they won't charge you for the day.",positive
one of the best breakfast places i've eaten at in this area,positive
Great deal,positive
"Good customers service, the food are good, cleans and friendly staffs!",positive
I love thier beef crispy tacos! Chip and salsa is always good too.,positive
The worst Polo shop out all the malls in New Orleans. As an avid,negative
Was not open this passed weekend (Saturday and Sunday) June 15-16. Call ahead before you make your way downtown.,neutral
Food and service is amazing!,positive
If you think Little Baby's has good vegan ice cream try V Street's soft serve!,positive
Great food!!,positive
"Lunch special, one soup, one app and one entree for 9.95.",positive
Happiness is free Wi-Fi!,positive
Get the brisket chili!! Amazing,positive
It's easy to miss this place. Look for the tiny sign on Peters.,positive
Great cheese steak with wiz!! Very fresh fries!,positive
Awesome stuff. Cool people.,positive
"Told my daughter she is too fat to try the dress!! super racist,  start barging in to dressing room while she is changing..yell at her for gaving dress on the floor, horrible customers service, can't believe the owners attire. .",negative
Great food. The hot sandwiches are bomb.,positive
We'll be back for sure!,positive
This place literally saved saint roch. God bless the saint rich market.,positive
Best Mexican in town,positive
Great tackle shop.  Every time,positive
"...whatever, make sure to-go orders are made on the dine-in line. Confusing, but you'll thank me later. Grab a d",positive
Gotta love the managers reception!,positive
Ask about the specials.,neutral
Great place to get specs and sunglasses!,positive
Food is always great. The seating is just very close and there isn't much space.,positive
AVOID BERNIE'S if you have food allergies: the waiter was rude and the kitchen was not knowledgable about the ingredients they put in the food. They came back three times with different answers about what was in a dish I tried to order.,negative
Muy bueno todo!!,neutral
Still the best rolls and cinnamon butter...,positive
Italian Dinner,neutral
they have the best service ever!! and the lady at the window always wipes my cup!!!!,positive
Get here early to find a seat,positive
Do not skip on the baked beans!,neutral
Live here early and often!,positive
"Staff is great! 
Curry chicken is FIRE!",positive
Grab and go pho :),positive
Food and service here are always great.,positive
Great nail salon!  I really enjoy the $55 gel mani and pedi special.,positive
Visiting my favorite bearded bartender ;),positive
So tasty,neutral
"Tip Part 1 of 2:

Little known facts from the Pho station at Toucan Charlie's Buffet:

1. Pho's three basic components are rice noodles, broth, and meat.

2. Understanding how garnishes work is the key to understanding pho.

3. Pho is traditionally served for breakfast in Vietnam.

4. Pho refers to the noodles, not the soup.",negative
"Watching @JayFaircloth entertain this thirsty #Tucson Crowd on a balmy, 92* August Evening in the Sonoran Desert Amphitheater, across the street from @SaguaroNationalPark @SNP #Winning #America #Arizona #SonoranDesert #Tucson #TucsonAZ #CountryMusic #OutlawCountry #FindYourPark #MonsoonSeason #SNP #520",positive
The lookalike pictures in here are weird,negative
"Parking is validated for the lot behind the cinema. Wine lovers can consider purchasing s branded Belcourt wine glass, which earns you an extra big pour if you bring it back for subsequent orders.",negative
The jambalaya pasta is so good and huge! You can share!,positive
Free wifi inside Lowe's,positive
Bear in the west!!!,neutral
Footballz & double datez.,neutral
Save room for dessert!,neutral
Enjoy the pan fried potstickers,positive
Great service. Great food. Can't wait to come back.,positive
Best coffee in the neighborhood.,positive
More bday celebrations,positive
Love it everyone was so nice my boys first visit very informative and fast service will b back n six months,positive
The menu is very sophisticated and white wines European ... yummy and I'll be back !,positive
After game pizza,negative
Sadly closed down. This was a great local breakfast and brunch place. Friendly service and good food at very reasonable prices.,positive
Service was prompt and efficient. Food was tasty!,neutral
Ask for Suzy's table. She's hilarious,positive
They have Tin Roof! Yay!,neutral
"Vegetarian, vegan and gluten-free options DO exist in NoLa! The Cajun Cafe offers made-to-order DELICIOUS food. I had the Vegan Jumbalaya- fresh grilled veggies over deliciously seasoned rice. I had SEVERAL vegetarian options. My carnivore friend had the Alligator Po'boy & the Gumbo. Homemade iced coffee also fabulous. Our server, Sunshine, was lovely & friendly. If you're looking for good food in the French market then don't miss this gem! Some of the best food I was able to eat in town  :)",positive
Oreo shake for me and white chocolate shake for Chris.... yummm,neutral
"Absolutely wonderful food & atmosphere! A group of us came here for a friend's 40th birthday dinner & all of us couldn't have asked for better food and environment.  The wait staff was slightly slow, but it was very busy so it is understandable.",positive
Delicious smoked food! A must eat again!,positive
Maple brown sugar sausage on buttered toast and grape jelly. All I'm sayin!,neutral
Come support Jenna tonight....20% of ticket sales donated for her cancer fund.,neutral
Bad... just bad.,negative
Happy hour everyday,positive
Share the roasted cauliflower.,neutral
Happy hour...$5 make you holla!,positive
Huge selection of everything,positive
"Cappuccino was great, coconut dream bar, yummy",positive
"Cool tunes, steep cover, but maybe it just seems that way because I can't stay out too late.. interview tomorrow!",negative
cole slaw and a pickle available upon request with lunches... Must ask though..,positive
2 for $5.55 deal for lunch is a great one.,positive
No dry ice at this store.,positive
Happy hour hot dog will change your life!!!,positive
"This is the end of the line , the last stop before hanging up those knee highs and stripper shoes",neutral
"$5.00 lunch specials. $3.75 ""top shelf"" (who knows) margaritas. Great chimichangas.",positive
Waiting in line...,neutral
Just got charged $10 because my card was declined as it was stolen and I got a new one. Methinks it super shady/awful business practice.,positive
Be sure to grabs To Go breakfast bag,positive
I'm stuffed with delicious meats and glazed pineapple! Soooooo good!,positive
"For when you like to pay 275 dollars for food poisoning 4/8/13
And then spend time with security and be made to feel like a liar. Yeah sure eat here just don't have the lobster with your rose' or it'll end up coming back up. And I assure you protocol goes before customer service here. Then on top of that I have two pending trAnsactions for a meal I shouldn't have paid for once.",positive
"Great bargain lunch. I go for the combo meat salad, on salad vs rice.",positive
"Pretty nice employees, quickly got us in and out, I would rent from again.",positive
Vacation!,neutral
They have great appetizers and a good selection of sushi. I love this place,positive
Gorgeous morning + 16 miles = done:),positive
Great pizza. Please don't go on changing anything,positive
Don't a good choice if you have a headache,positive
Go Bolts!,neutral
Swim time!,neutral
Going home!,neutral
The food is so good! Delicious diner fare! Don't miss the cheese cake and coffee.,positive
"Great food, great cocktails, great service",positive
Their fried chicken is heaven!,negative
Delicious,positive
Order online and pick it up to avoid the lines!,neutral
"Fun, bustling, market.",positive
"The hours posted on their website are incorrect. They are open 8am - 3pm on Monday and Friday, and 8am - 5pm on Tuesday, Wednesday and Thursday.",neutral
Amazing coffee!!! Super nice employees!,positive
"Go before 7PM. After that it gets really crowded and you have to wait a long time. Don'go there alone, it's not in the best of neiborhoods but just be aware of your surroundings. Not dangerous but just be aware!",positive
"Great people, great products",positive
The short rib tacos are amazing!,positive
"So much fun! Saw the Brassaholics with my bf, great drinks and a class A show.",positive
Love it here,positive
Check out the sweet new treadmills!  Totally JET!,positive
Try the Red Velvet!,neutral
Overpriced & overhyped,neutral
A great place to watch a movie on a budget.,positive
Check out the specials!,neutral
I don't think Carly Ann's review refers to Bin Asia in Clementon because it did not exist in that location in 2014. The place is quiet and peaceful; I can't imagine any shouting happening there at all.,positive
Yummy!!!,neutral
"Love this place. On the water, outdoor seating and great service.",positive
I ate here and had to get rushed to the hospital at 2am. This place is filthy and they don't care.  I called the owner and told him I got ill and he blew me off.  The chef looks and smells like the creature from the black lagoon.lagoon.  it's really gone down the tubes.  I used to be a regular.  Out,negative
The best Falafel ever!,positive
Great service! Easy and convenient!,positive
Warning! these guys are s--l--o--w. Don't bother unless you've got 30+ minutes to kill.,neutral
Love this place! Authentic Mexican food at great prices. This is our go-to spot!!,positive
Was a great place to eat it seems to be closed down now such a shame,positive
Best breakfast on the beach!,positive
The RPX seats are pretty nice.,positive
"Rolls are cut very thinly, making nice bite sized pieces.",positive
A set above Taco Bell. No even close to real Mexican food. Big disappointment.,negative
"People complain about Kroger's high prices, but I find their store brands are good on both price and quality.

This store doesn't carry Blue Bell ice cream, though!",positive
Amazing service! My drink was always full. Food was warm and flavorful. Staff was so nice. I normally go to China Buffet on Cracker-barrel rd. But not anymore. This one is better!,positive
Enjoyable on Valentine's Day weekend,positive
Is awesome food  and friendly people,positive
"Expect to wait,  but worth it.",positive
Easily the best McDonald's in the area.,positive
The Tikis Supreme Pizza is awesome!!! I'm addicted. Love this place.,positive
Great food and very friendly and accommodating service!,positive
"Sometimes they make up some grilled oysters. If they're offering them, they'll let you know. Get them.",neutral
Incredibly delicious fried chicken sandwich! Wow!,positive
"Golf along the Pacific, SoCal residents ask for a discount!",neutral
Lunch specials are great. Definitely treat yourself to a steak. Incredible flavor and cooked perfectly to your specs. You'll definitely get quality over quantity here.,positive
"Must do(s):  toasted ravs -you're in STL!  Fried Calamrari is also tasty-not chewy, just right.  Then onto the Gyro-salad or sandwich, a pasta (all handmade) and a cannoli or the fried dough.  Sooo good!!",positive
It was a cool experience. Not sure it totally worth the money but alas.,negative
Service is good and free peanuts!,positive
The sushi is horrible. Everything tastes microwaved. Good atmosphere for karaoke.,negative
"If you are an Emerald Club member, you can skip the counter next to baggage claim but still need to stop by the booth in the Emerald aisle to get a car.",neutral
Check out the peanut butter and jelly thumbprint cookies.,neutral
Brisket is always great! I haven't had anything I haven't loved here.,positive
You can bring in your own liquor or booze I believe.,positive
Yummy pizza!!,neutral
I've been here a few times. The service has been consistently good as has the food. They have happy hour EVERY DAY from 2 until 7. Want a good burger and a cheap beer? This is the place!,positive
Great salads,positive
"Awful rude nasty to me 
Give me middle finger",negative
iPhone sync,neutral
Contagion!,neutral
Opening very soon!,positive
"I've never had worse service than I did at this Walmart. I asked if they gave teacher discounts (I was buying things for my room) and the lazy cashier (who was mad when I walked up because it meant she had up stand up) looked at me as if I had just cussed her out and the proceeded to ring me out. 

No words. Completely ignored me. So after our thrilling conversation (joke she didn't say more than one word) Ieft. 

Thanks Walmart for reminding me why I am a loyal Target customer!",positive
Authentic Filipino from a small mom and pop grocery/ restaurant.,positive
My 3rd time at Pappy's. I just can't get enough. It is really my favorite bbq. Coming from California every time I have work in St. Louis.,positive
"Everything was delicious! Good service, chill environment.",positive
Thanks for getting the job done efficiently & professionally.,positive
Super fun!!! Will definitely come back for more fun,positive
"Awesome, flavorful food. And great service to boot. We are regulars now.",positive
"Try the soda, all of them there. Don't forget to get a vegetarian chocolate chip cookie!",neutral
"Big slices, decent options
Warmed but not as hot as I prefer",positive
Great food a atmosphere. I recommend the rooster beak and some chacos.,positive
"Prompt service, even on the weekend, and reasonable prices. Highly recommend.",positive
All sorts of different types of chocolate!,neutral
YUM!,neutral
Best any time you're hungry place,positive
"Lots of variety, good food. Tried the 007 roll which was good, but heavy on the mayo sauce. If you get this, split it w/ someone.",positive
"Customer service in flooring was fantastic.  Thanks, Anthony!!",positive
Always fun ! Great for kids to burn energy on cold day!,positive
One of the best buffets in the area. Hardly ever a wait and the waitstaff is great.,positive
This place has great service and food. Highly recommend,positive
Amazing food - great experience!,positive
Best steak I have had in Middle Tennessee.,positive
Crazy friendly and knowledgable staff.,negative
My key keeps not working. It's like they program them for only one use.,neutral
Santa Barbara's downtown seems brighter and cleaner on our last visit than in past ones.  The area of State Street south of the 101 is coming together after several years of reconstruction.,negative
"50% off sushi from 11 am - 3 pm, Monday through Friday! Such a steal for fresh, good quality sushi! This is a lunch special you really can't beat!",positive
Smoked wings and brisket are my favorites....  A lot of Chicago memorabilia.....,neutral
Mandatory= general tso's tofu w. broccoli & fried pork dumplings,positive
Strongbow on tap...what more could you ask for?  The hummus is fantastic and the side salads are so great you don't even crave the fries!,positive
Very bland and 2 hr delivery wait. Not a great combo.,negative
The quail dish alone is a reason to come here!,neutral
No pitcher sales.  Except Tuesday. Weird.,negative
Bad customer service.... Never will come back again.,negative
Dee did wonders for my sore back.  Thanks again for fitting me in and see you again.,positive
Dr. Sturm is fantastic.,positive
Mmmmm cinnamon raisin biscuits. Start your day off with a 6 pack of these.,neutral
"Spinach stuffed mushrooms, Thai chicken wontons and seared ahi small bites. Pat is having gluten free pizza and a choc chip pizookie.",negative
So fun! Drinks are amazing! Love this place!,positive
Good ambiance but disappointed with price range and value of food.,negative
Food is amazing service is not.  Order to go.,positive
The best of town in Indy. Great service and great food.,positive
"They are now full service so be prepared to tip. Previously you ordered at the counter and got your own drink, the way it should be. Avoiding a tip was half the reason we came here. Off the list.",positive
PEANUT BUTTER BURGER!!!!!!  Tis-das SHIT!!,negative
Try to go during the week or non-peak times so parking is easier to find,neutral
And then don't be a prick fucking animal control officer,negative
Bring your own wine,positive
"If you've never been here before, get the gumbo or the yakamein. Pralines are delicious. After, you'll be back and you'll want to try the other menu items.",positive
Amazing people and food. Can't be beat. Favorite place in Tampa.,positive
Why eat fake butter at Chickie and Pete's when you can eat these crabs.,negative
"Indoor and outdoor seating. 
The sausage is amazing, it is perfectly spiced.",positive
Their cold sesame noodles (w/tofu and kimchi) are delightful!,positive
Such good mochas and food. My regular go to for breakfast when I'm in Reno.,positive
"If you bring your dog, make sure your server knows where the dogs are allowed to sit or they will make you move.",positive
Great place for lunch! Lots of selections. I recommend the fajita salad.   Friendly staff ready to help. We always get a to-go for my mom and it's just as yummy as eating in.,positive
Best breakfast value in philly,positive
"Great happy hour! Great drinks, fish tacos and nachos.",positive
Nice lady at the drive through window.  Loved the Swiss n Mushroom Thick Burger!,positive
Humongous crab cakes!,neutral
Pet friendly and cheaper then best western down the road,positive
Headed to see co-workers for dinner,neutral
"Great brunch and service , the food was a great:)",positive
Bring walking shoes,neutral
Never have Italian bread,neutral
Great staff. Fantastic service,positive
Talk to Parker...you can't lose.,neutral
"Pizza Nah! I've given this place a try on three separate occasions because of the high ratings on Yelp. Each time was a HUGE disappointment. If you like less then mediocre pizza, then this is your place.",negative
Delicious pizza fast and seamless delivery!,positive
Another awesome dinner with friends,positive
"I have been eating here on and off since the place opened, but sadly the food keeps going down  hill, tonight the wife and I both got the beer battered tenderloin which was a mistake unless you like a sandwich  so greasy that the bottom bun is saturated and dripping grease",negative
Another awesome cut by Lily!!!,positive
Excellent! No other words only comparison Al Bakers ...,positive
Just like a true ristorante style dining experience in Italy.,positive
"Most awesome craft cocktail bar I've found in NOLA thus far. Yes, I said ""thus.""",positive
Unreal.  The most amazing favors I've ever had. I want to eat here forever!,positive
"New servers. Flat taps. Good food, but not great. Growing pains, I hope.",positive
Try the tuna salad. Fabulous.,positive
The food here was Amazing!,positive
"Great seafood.  Service is a little slow and lacking.  However, I would still eat here again when not super hungry or in a hurry.  Very fresh and made to order- Kenner gem !",positive
Great Greek salads! Nice portions and the spicy feta is off the charts good,positive
All the locals say eat here!,neutral
Gloria makes the best sandwiches! She will always ask you about your day!,positive
Get the app if you're a regular for easier checkout. They also have a rewards program too for every $55 u spend u get a $5 credit.,neutral
Love this truck!  Pizza is AMAZING!!!  We need more of this truck!!,positive
Food was excellent! Service was also very good. Blackened grouper was fantastic!,positive
Everyone is so wonderfully helpful. I love this store and very addicted.,positive
"Minimum order total amount for delivery:
*Edmonton - $85
*Sherwood Park/Acheson - $160
*Downtown - $130
*Nisku/St. Albert - $235",neutral
Saturday brunch 9am-2pm.,neutral
Closed for renovations,negative
clerk said straight up greens juice w/a shot of ginger is most popular. tastes like battery acid. worst green drink i've ever tried,positive
PHO xe lua #1 is loaded with meat! Broth is good too!,positive
i do love this place for buffet! They have the best Butter Chicken in town! way better than Madhuban's!,positive
"Order the Federale, it's delicious !",positive
Burnt end toasted ravioli. That is all.,neutral
So good. I especially like the donairs. Very fresh ingredients.,positive
George is the best!,positive
"Bomb food, great music and friendly staff. This might be my new favorite restaurant.",positive
Best Indian restaurant I've ever been too.,positive
"Join Thornton's ""Refreshing Rewards"" program so you can play air guitar while filling up your tank!",positive
"Watching the game whilst muh peeps raid the mall.... I'm ridin round an I'm gettin it, it's mine I spend it....and so do they! Cholla!",negative
The Movement. C# on the tables. McRad shredding it latenight! Bigup,neutral
Yummy food and great service! Make sure you arrive early for a table!,positive
"It's like being transported back to the 1950's - love it!!!  From the sign out front, to eating at the counter, to the music. Plus, the food & service were excellent and reasonably priced.",positive
Very handy location for drivers and bikers. But crying out loud fix the umbrellas - its bloody hot outside.,positive
An amazing place for your kids to jump around,positive
Order a bowl if you like veggies added to the mix.,neutral
Frozen yogurt bar is so-so. Stick with ice cream.,neutral
"Food is amazing, and the bacon Maple ice cream is ridiculously deliciously!!!!",positive
The grilled meats and shrimp are so flavorful. I crave the grilled shrimp!,neutral
Decent food and friendly service!,positive
Half priced apps after 9:30.,negative
"Very friendly, great service. Loved all games are on",positive
Awesome fish dish shared with good friends,positive
Apple cake a la mode!,neutral
No Haydels hand pies available. Call before you visit if you are coming specifically for.,positive
"Small place you may not know exists, but worth finding. So delicious!",positive
Time for sports,neutral
Hideous place for lunch with a side of apathetic service.,neutral
Loved it!,positive
Salmon sashimi is like butter.,neutral
Good food. Good service.,positive
Jurassic roll = delicious! :-),positive
"Spinach, swiss and egg white omelet!!",neutral
"Go early, seems to be busy in the afternoons",positive
save $3 on first purchase when using Kahwa app and accumulate rewards,positive
Laughs on fairmount,neutral
Great applewood bacon wrapped shrimp,positive
Hasn't changed in decades,neutral
"Music this morning!  Note: my review was off a bit.  Eclectic in some ways, but not exotic.  Really like the best diner I've ever had the pleasure to visit.  I will go back every time I am in NOLA.",positive
Best whitewall chinese food in west philly they only do take away but when i'm not in china town this is it order the chicken and brocolli,positive
"Great tour, great hurricanes & great tour guide, Luke!! Highly recommended",positive
Solid meal. Good service.,positive
Daily beverage specials just ask,neutral
"Burgers and Shakes, American classics served in STL ^^",neutral
Favorite bar in philly hands down.,positive
"Dress well when you visit, or they'll assume you can't afford them and ignore you.  Or dress like a total slob contractor and pull up in a monster truck, as that seems to get attention faster than eyeballing a 10K custom shower.",neutral
Consistently great service and food!,positive
Great sandwiches!! Always great service!,positive
Very good mahi-mahi with Orange sauce and noodles!! Also good the sea-weed salad!!,positive
Ample side street parking,neutral
Love Grumpy's for everything,positive
Rude ass workers.,negative
Love #13 with shrimp.,positive
The Grouper Sandwich and Blackened Chicken Salad are great. Start with Fried Green Tomatoes and the Hush Puppies.,positive
They are not there just an empty lot.  We drove around and never found this location,negative
Can get drinks to go. Most drinks are available hot or cold.,positive
"Love using the TGI Fridays app, use the Tab feature love it. Keeps track of the bill and allows me to pay when I ready. I've used it several time when in a hurry didn't have to want on server to get my bill..",positive
I find it appalling that the business sent rude and derogatory emails because people are telling the truth. Just because you make decent cupcakes doesn't give you the right to throw any sort of business ethics out the window. You still owe me 55 dollars for the horrible cake.,negative
"After a 2:00 am hotel checking and Lunesta-aided good night sleep, ready for coffee- need to hit the ground running!",positive
The food was okay. Definitely not worth the amount they charge.,positive
Ask for Theresa... Girlfriend hooks it up!,neutral
You always leave buying more than you planned!,positive
Great food I love their Cuban subs would highly recommended,positive
Love me some secret menu! Large Neapolitan Shake makes any day amazing.,positive
Don't come hungry. No food is served.,neutral
"Fast delivery, excellent food! Love the chicken tika and all the naans",positive
"Great tour, loved it. I'd definitely do it again. Thanks!!",positive
"I ordered at 1:05pm, it's 2:26pm and still haven't received my food",neutral
Great  pizza and pasta clean and fresh.. and would definitely recommend,positive
