,label_id,free_text
12806,not-hatetag,repmiley milenafeer alexiafedida foi só o cara ouvir ela ontem que agora vai aparecer em tudo que é lugar
12807,not-hatetag,como é bom estar de volta em praia dos ingleses
12808,not-hatetag,eu acredito em amor verdadeiro tem gente que acredita no vasco
12809,not-hatetag,eu nem vou falar nada
12810,not-hatetag,minha mãe não pode me ver não que fica inventando coisas para pessoa fazer tnc
12811,not-hatetag,lupita a mais bonita de todas
12812,not-hatetag,postura não se cobra quem tem tem
12813,not-hatetag,estava querendo fazer uma noite de jogos igual aqueles filmes americanos geral em casa comendo pizza tomando coca e jogando
12814,not-hatetag,só queria estar almoçando com a familia
12815,not-hatetag,poxarobs kmk meu deus do céu
12816,not-hatetag,acordei dnv da onde eu tiro tanto cansaço
12817,not-hatetag,ja usou droga hoje ne vagabundo
12818,not-hatetag,eu sonhei com o menino que eu conheci na praia
12819,not-hatetag,o dia que maria for uma mulher qualquer todas as outras mulheres carregaram o filho de deus em teu ventre
12820,not-hatetag,acordei com o corpo mole parece até que enchi a cara ontem
12821,not-hatetag,gabsiqueira também quero rolê assim se achar me avisa
12822,not-hatetag,fashioneditorial gazonato para fasm fotografia gigebrim maquiagem bonimakeup modelo luizbasualdo são paulo brasil
12823,not-hatetag,eu tento ficar sem beber mas não da
12824,not-hatetag,thluiz tem que ver como ele passou aqui
12825,not-hatetag,não é nem nas  provas da semana que vem
12826,not-hatetag,estou aqui na barra vou falar o que vou ir fazer obvio que não
12827,not-hatetag,aquele momento em que voce observa os acontecimentos ao seu redor e a única coisa que consegue dizer é ai ai
12828,not-hatetag,sophiabrahao segue a sophiaehtop e soumaissomic
12829,not-hatetag,alissonjba voce demorou min escovando os dentes eu durmo fácil
12830,not-hatetag,nem hashtag tinha na foto como ela me achou minino
12831,not-hatetag,jvcerq essas coisas falsa de hoje em dia sao muito cara
12832,not-hatetag,foi a sensação vendo a vick andar ontem tudo no mundo tem propósito
12833,not-hatetag,miou o jogo do unidos da capela
12834,not-hatetag,casa de vó é aquilo não é
12835,not-hatetag,darkbibix isso é meio assustador
12836,not-hatetag,não sei porque eu perco tempo falando com o morone ele segue sendo nojento
12837,not-hatetag,deus é a resposta não importa a pergunta
12838,not-hatetag,analaval eu te entendo foi assim na nossa primeira vez neah
12839,not-hatetag,parei de sair parei de beber
12840,not-hatetag,bom dia tarde para quem está muito cansada
12841,not-hatetag,que line da desgraça a transp está lançando misericórdia
12842,not-hatetag,o inter podia tentar um empréstimo do gabogil não é
12843,not-hatetag, vila norma in são joão de meriti rio de janeiro
12844,not-hatetag,nossa dona ingrid o que aconteceu achei que tinha morrido
12845,not-hatetag,voltamos para época que uma mulher sair na rua sem um homem significa que ela é de quem quiser ela
12846,not-hatetag,triste quando sua mãe viaja e voce tem o total de  contatinhos para levar para casa
12847,not-hatetag,começou o melhor programa da tarde gazetamulheres volpatoregina fefito garrandoamizade sempremulheres
12848,not-hatetag,sou muito azarada maluco logo essa semana fui torcer o pé
12849,not-hatetag,essa semana vai ser tensa
12850,not-hatetag,karoljr não esta esquecida não meu amor só cheguei em casa agora papo reto
12851,not-hatetag,então em  ruivas franjudinhas não se davam bem
12852,not-hatetag,luisfvalent está não isso é ilusão da sua cabeça
12853,not-hatetag,rafavaleska voce a melhor namorada
12854,not-hatetag,bom é o que eu penso
12855,not-hatetag,voce quer o abel braga no flamengo em 
12856,not-hatetag,queria ter estabilidade financeira para sumir daquisumir de tudo
12857,not-hatetag,eu espero que não eu não precise mexer em nada no trabalho de metodologia por hoje se eu tiver só lamento
12858,not-hatetag,luinnza amii eu nunca tive dúvidas
12859,not-hatetag,e eu mal toco campainha
12860,not-hatetag,rodriguessdp tem que aguenta fia
12861,not-hatetag, agu advocacia geral da união in porto alegre
12862,not-hatetag,estou com tanta música boa nova baixada que não sei nem o que ouvir
12863,not-hatetag,e meu pai qu não queria gato mas pagou um hotel para gato não ficar sozinho
12864,not-hatetag,bacuriinha quase mandei por 
12865,not-hatetag,bn voce não se respeita não me respeita olhas as coisas que tu fala
12866,not-hatetag,sentir falta de alguém é horrível não é
12867,not-hatetag,humanasereia cara  muito bom
12868,not-hatetag,bom dia e a yoko ono não é artista
12869,not-hatetag,coedeivin tu segurou com tanto carinho que ele deve está em pé até agora lá mano tem intimidade com poste
12870,not-hatetag,renê melhor lateral esquerdo do campeonato
12871,not-hatetag,turismoempernambuco tamandaré beach ultimadoano mergulho em tamandaré pernambuco brasil
12872,not-hatetag,a organização dessas festas eu fico só lembrando do filme projeto 
12873,not-hatetag,essa estrada eu prefiro percorrer sozinho
12874,not-hatetag,familia é aquele que ajuda o irmão da a mão para quem está caido no chão da conselho para o outro se levantar
12875,not-hatetag,sol pediu os ctts dos meus tatuadores falou que todas as minhas tattoos são lindas olha concordo plenamente
12876,not-hatetag,amnh depois da faculdade vou buscar um corre lá em prazeres eita nois hein
12877,not-hatetag,nicepadilha concordo com voce é que aqui a conotação é políticabraço amiga
12878,not-hatetag,thaynacmelo concordo amiga ele só abandona
12879,not-hatetag,um perfume e docinhos será que as pessoas me conhecem para dar presente
12880,not-hatetag,everson merecia demais esse prêmio mas acabou em º não é
12881,not-hatetag,poxa gina nenhum defeito garota
12882,not-hatetag,é o começo voce de uma nova era
12883,not-hatetag,queria comprar im airpod só não sei onde vende precinho
12884,not-hatetag,ho ho ho em santander cultural
12885,not-hatetag,adiosbianca não estou entendendo isso aí será que ele não vai colocar
12886,not-hatetag,vou fazer meu aniversário no espaço elite
12887,not-hatetag,ja votei umas  vezes no cuear
12888,not-hatetag,mrcsbb hoje a hora que ele sai
12889,not-hatetag,que chuvinha boa para um bom chocolate quente e um cafuné
12890,not-hatetag,spineicrf doentespfutebol no     eles jogam na linha de três meias
12891,not-hatetag,bota no alto e me corta
12892,not-hatetag,aquele momento que voce sente no coração que alguém vai faltar e voce vai trabalhar por dois
12893,not-hatetag,não sei sentar igual mocinha
12894,not-hatetag,vocês precisam ver os stories da bruna marquezine onde a prialcantara aparece cantando eu mesmo estou no chão com essa fada talentosa
12895,not-hatetag,esse provão me fudeu tanto
12896,not-hatetag,matpicho num sei cara looks difíceis
12897,not-hatetag,kaylaine vendo flash e eu dando spoiler
12898,not-hatetag,fui arruma minhas coisas da mudança mais já cansei vou espera biel para me ajudar
12899,not-hatetag,stheffanybutler cole que serias da ladaia
12900,not-hatetag,não aguento mais ter ansiedade
12901,not-hatetag,ainda bem que acabou o brasileirão ficar uns dias sem sofrer com o fluminense será bom
12902,not-hatetag,estou tão cansada da vida
12903,not-hatetag,meu irmãozinho me da uma namorada para vê se eu não fico nojento
12904,not-hatetag,mas você quer a minha atenção
12905,not-hatetag,quase que a foto não carrega de tão pesada
12906,not-hatetag,guilhermec gosto e dou apoio
12907,not-hatetag,apocriphix eu pego no blog ou no canal é da mesma pessoa tem de tudoo
12908,not-hatetag,thiagograneman ajgervasio queria jogar mas não tenho o play não é amigos
12909,not-hatetag,sair só com  reais agora
12910,not-hatetag,pisca a xereca quando ver o parafal
12911,not-hatetag,eu estou doida para arrumar um emprego para não ficar pedindo dinheiro de passagem para minha mãe
12912,not-hatetag,esperar o rafael é uma tristeza a própria tristeza
12913,not-hatetag,eu estou em prantos aqui
12914,not-hatetag,o mundo dá voltas e eu agradeço
12915,not-hatetag,tenho  dias para arrumar uma sogra para passar o natal na casa dela
12916,not-hatetag,com lembra quando as musicas de amor faziam sentido
12917,not-hatetag,eu te amo e te escolhi para viveer
12918,not-hatetag,nunca mais empresto dinheiro a ninguem só dor de cabeça tmnc
12919,not-hatetag,ficar sozinha em casa é tão ruim
12920,not-hatetag,suel ruuanmachado goathi pede para ser ignorado
12921,not-hatetag,nmjrduda tudo e vocês 
12922,not-hatetag,felizmente a partir da ap  eu parei de desmembrar e elas estão intactas
12923,not-hatetag,meu estou muito no cagaço de não conseguir aprender a dirigir
12924,not-hatetag,teresinhalopes almeidalzira stfoficial boa pergunta stfoficial queremos saber
12925,not-hatetag,queria ter a auto estima que ces pensam que eu tenho
12926,not-hatetag,acabou de publicar uma foto em assembléia de deus belenzinho
12927,not-hatetag,alguém me fala alguma cosia para assistir na netflix que eu não aguento mais não ter nada para fazer
12928,not-hatetag,escolas e universidades livres e plural são o último refúgio da democracia
12929,not-hatetag,lemosncls brsna inaiaduana eogremio alxnsx judogremioo opaflor saiu do grupo
12930,not-hatetag,acabou com a minha graça
12931,not-hatetag,ficar de vela para o daniel vai ser o cumulo
12932,not-hatetag,cece eu li braet já estava achando estranho cara
12933,not-hatetag,casais que se vestem igual e dividem algodões doces em beto carrero world
12934,not-hatetag,morri com esse vídeo cara vulgojuca
12935,not-hatetag,estou indisposto para tudo hoje
12936,not-hatetag,mais calma aí não goza agora
12937,not-hatetag,caguei se eu ficar esperando pessoas para assistir comigo vou morrer de curiosidade também
12938,not-hatetag,rodrigomattar eu fico imaginando que será que eles tomaram fumaram no dia que aprovaram esse enredo
12939,not-hatetag,te trago na dor de cada trago
12940,not-hatetag,estou esperando não é se não eu surto logo cara
12941,not-hatetag,rolêzinho de skate para inaugurar os tão do jeitinho
12942,not-hatetag,paga de desapegada mas chega em casa e chora quando vê foto do ex no status kh
12943,not-hatetag,lisferreiraf dudaferreiraf não é não sou eu mesmo ela que não quer admitir
12944,not-hatetag,até os redutoscelestes lotam mais seus bares e restaurantes em questões de ocupação
12945,not-hatetag,engraçado foi o cara levando susto com as faíscas
12946,not-hatetag,dia  é minha colação
12947,not-hatetag,indo atrasada para a aula mas pelo menos estou indo não é meus amores
12948,not-hatetag,estou jogando gta online ainda bem que internet voltou no mr
12949,not-hatetag,ainda bem que eu não tenho dinheiro cara
12950,not-hatetag,vitorevaldt  é nois meu consagrado mas cá entre nós nasceu com o com virado para lua não é
12951,not-hatetag,meu sonho de princesa é ganhar livros de presente e não coisas que eu nunca vou utilizar
12952,not-hatetag,lucasnogueirac a eu nem ia colocar muito obrigado
12953,not-hatetag,bom dia são paulo volta jáa em cruz azul de são paulo
12954,not-hatetag,quando eu sei que estou certo nem discuto euem não sou nenhum maluco
12955,not-hatetag,voce não sabe mas levou meu coração de assalto
12956,not-hatetag,feliipedmelo tu tomou  menor tem até o dia  para apanhar ainda relaxa
12957,not-hatetag,queria voltar por começo do ano e fazer tudo diferente
12958,not-hatetag,iairafa nossa sim ja passei por isso varias vezes
12959,not-hatetag,gabivieirar de voce eu não dou
12960,not-hatetag,e hoje tem  minutinho de dj vn
12961,not-hatetag,eu sobrevivo sem carinho para ninguém me machucar
12962,not-hatetag,iti malia qui malavilosa está minha ilmã
12963,not-hatetag,qual a melhor opening de anime a time para voce
12964,not-hatetag,mxrianaventura meu maior desejo ever
12965,not-hatetag,layh aliceeym bagulho é marcar um dia para jogar queimado ou pique bandeira geral
12966,not-hatetag,um querendo ser mais que o outro os mano se perde nas ideias
12967,not-hatetag,minha rotina das quartas vir trabalhar ficar sozinha assistir video e chorar na hora do almoço
12968,not-hatetag,adoro os ensaios mamaebebe fazer retratos para a vida capturar os sentimentos
12969,not-hatetag,a vezes eu esqueço que tenho twitter cara
12970,not-hatetag,gente eu estou muito vergonha desse video cara
12971,not-hatetag,ninguem aguenta ele no dia a dia dentro de um clube por isso foi fechando portas
12972,not-hatetag,eu quero voltar para casa
12973,not-hatetag,só queria dizer que nós estávamos quietas ela que apareceu com um gif daquele vídeo
12974,not-hatetag,tassylaal ce está doido uasuahs
12975,not-hatetag,é meio dia estou em teresina e estou com frio
12976,not-hatetag,annamarescott  o milagre tem que ser grande
12977,not-hatetag,estou indo para vocês obrigado meu deus
12978,not-hatetag,também sei que nada acontece sem a sua vontade
12979,not-hatetag,vai rola o hamburguer artesanal mas tarde
12980,not-hatetag,quando era feliz e não sabia
12981,not-hatetag,pegar essa corrida na praia com a equipe só fé
12982,not-hatetag,estou a fim de fazer umas escalada rapel coisa do tipo será que é muito caro
12983,not-hatetag,sentimento disfarçado e a cara de quem não vale nada
12984,not-hatetag,fiz a unha da mamãe agora vou dormir quando acordar eu faço a minha
12985,not-hatetag,que tenho que ter não posso esperar chris brown
12986,not-hatetag,eddiejoymedia startupdareal pode ocultar a imagens mas continuam ocupando espaço
12987,not-hatetag,iran botou o bk hoje
12988,not-hatetag,taokei tenho  trabalhos para fazer e não estou nem na metade de 
12989,not-hatetag,ando tão enjoada que dá até nojo de pensar
12990,not-hatetag,lfpiantino hauhauahuaha po tirasse e mandava aqui para galera
12991,not-hatetag,wesleycurty exato igual ao nosso pitbu banguela leandro desabato que caso se chamasse leandro silva já tinha sido mandado embora
12992,not-hatetag,luipinheiro ha eu sei ode é a casa dele em beberibe
12993,not-hatetag,toma banho e sair por ai
12994,not-hatetag,está de vermelho de kevlar é melhor mesmo que ela não esteja de rabo de cavalo porque eu acho que não sobreviveria
12995,not-hatetag,andressam não tem muita necessidade em saber tvm euheueheuehueue
12996,not-hatetag,milenarodrgues tudo tem que alfinetar não é incrível
12997,not-hatetag,almoço com a diretoria da associação dos logistas do conjunto nacional de brasília deputadoreginaldosardinha brasilia shoppingconjuntonacional setorprodutivo em restaurante universal
12998,not-hatetag,minha mãe tentando matar a abelha com o rodo
12999,not-hatetag,eu estou num sonomas não vou dormir cara amanhã não quer acordar a bonita
13000,not-hatetag,bruweeck eaiiduda vocês encalhadas
13001,not-hatetag,dei um banho na luna
13002,not-hatetag,até estar calor e sua pele derreter
13003,not-hatetag,deve ser muito difícil ser patrão
13004,not-hatetag,que saco tenho vontade de socar a cara da bia
13005,not-hatetag, meses de namoro com a garota que eu amo manuoliveir
13006,not-hatetag,estou indo cortar meu cabelo 
13007,not-hatetag,afrocalipse isso é muito real
13008,not-hatetag,mariananazrio ano passado eu fiquei de férias  de novembro
13009,not-hatetag,mas compará lo com o resto é besteira
13010,not-hatetag,hoje o spotify me chamou de ousada então quem sou eu para negar
13011,not-hatetag,quem é carlinhos maia perto do fred
13012,not-hatetag,não existe amiga melhor que ela fabimecbeo
13013,not-hatetag,estou correndo que nem uma louca nos últimos dias já quero minhas férias 
13014,not-hatetag,quando voce acha que achou todas as respostas vem a vida e muda todas as perguntas
13015,not-hatetag,ontem meu padrasto vendo as fotos da ultrassom ele ficou todo bobo cara estou vendo que será babão também
13016,not-hatetag,graças a deus tudo dando certo aos poucos está saindo não vejo a hora de ver a loja toda montadinha
13017,not-hatetag,papo reto mesmo queria está na praia
13018,not-hatetag,primeiro dia de férias e o meno está como
13019,not-hatetag,quando voce clica na publicação de quem não é para clicar 
13020,not-hatetag,os gigantes estão chegando eu posso ouvir
13021,not-hatetag,soldadinho em real hospital português
13022,not-hatetag,pelo busão indo para cf risos
13023,not-hatetag,sinergialary vai me responder com um seminário é
13024,not-hatetag,nubank aumento meu limite novamente
13025,not-hatetag,quer namorar comigo balança a cabeça e diz que sim abre um sorriso e vem para mim a
13026,not-hatetag,nossa eu amo muito essa mulher mesmo
13027,not-hatetag,eduardo essediafoilouco e a escova for a minha peya cara
13028,not-hatetag,oreshuuya augustomassaro vou fazer quando meu cabelo tiver grande
13029,not-hatetag,céu de ssa hoje em salvador bahia brasil
13030,not-hatetag,quase não mexo no facebook às vezes até esqueço que eu tenho risos
13031,not-hatetag,tia do açai aqui da escola mó legal
13032,not-hatetag,sábado vou comprar umas roupas
13033,not-hatetag,dava para abrir uma filial do mc sua sonsa
13034,not-hatetag,tiowah rasga o nome aqui
13035,not-hatetag,estou percebendo que o meu fim de ano não vai ser como eu esperava
13036,not-hatetag,claramente eu quando penso em começar outra série
13037,not-hatetag,andsidou nunca tomei esse aí mas essas águas com electrodos são ótimas para hidratação
13038,not-hatetag,achei alguém com a mão pior doq a da blamayla
13039,not-hatetag,cara meu namorado é demais
13040,not-hatetag,doynho da lapa sarniando como sempre
13041,not-hatetag,mood em maria ortiz vitória
13042,not-hatetag,soarsbia a que saudades desse dia foi a cena mais linda cara amo muito tudo isso
13043,not-hatetag,recebendo vista de um grande amigo em balsas
13044,not-hatetag,será que é por isso que meu ano foi uma desgraça
13045,not-hatetag,voce se lembra quando começou a fazer parte do twitter eu me lembro meuaniversáriodotwitter
13046,not-hatetag,luanpotter soleokov lipafire crynosense quando voce mora no fim do mundo
13047,not-hatetag,estou surtando porque ainda não comprei a roupa pa ir no aniversário de ana clara
13048,not-hatetag,vocês acham que a sala de vocês leva interclasse a sério é que voce não viu a minha
13049,not-hatetag,bsanchess baraveiheitor acho bom te amo
13050,not-hatetag,só rindo para não repetir o óbvio corruptos se identificam afinal são tarados por dinheiro
13051,not-hatetag,quando eu vejo que chegou o dia do pagamento eu fico feliz até lembrar das contas que tem para pagar
13052,not-hatetag,vou citar os bicampeonatos do alt mg
13053,not-hatetag,esses boys são muito esquentadinhos
13054,not-hatetag,nossa eu sou muito rancorosa fui perceber e o ocorrido foi a meses atrás
13055,not-hatetag,tbt infância em campo grande brasil
13056,not-hatetag, cara que bagulho estranho
13057,not-hatetag,meu dia estava bom até isso arruinar
13058,not-hatetag,hoje vai ser um bom dia falou
13059,not-hatetag,passei um tempo sem jogar e descobri que o geodude usou monoxidil
13060,not-hatetag,douglaxxs cara apareceu a margarida
13061,not-hatetag,o ano não foi o mesmo para todo mundo meu  foi assim veja o seu meuspotify spotify
13062,not-hatetag,estou viciada em malhar é isto
13063,not-hatetag,eu fiquei e voce será o campeão
13064,not-hatetag,vavahgomes mas é muito o que parece até baixa a autoestima
13065,not-hatetag,done onda fitness in americana são paulo
13066,not-hatetag,não sei o que eu faço da minha vida
13067,not-hatetag,cara não acredito que vestiram o monteiro de mestre dos magos eu amo minha etec
13068,not-hatetag,kittxnlouist da vontade não é liam
13069,not-hatetag,bravo toda homra ao policial merece todo respeito da populaçao
13070,not-hatetag,isabea me chamando para ir para unidos também no sábado aí deus
13071,not-hatetag,solteironãotrai esse mês tem abraço a
13072,not-hatetag,alguém faz um bolo de chocolate e me convida nunca pedi nada
13073,not-hatetag,namore alguém que te olhe como jongin olha para o jongdae loveshot exo weareoneexo
13074,not-hatetag,beasantanna segundo flávia vitamina sim
13075,not-hatetag,certeza que eu vô vomita estou até vendo tio
13076,not-hatetag,falta  dia prr não vejo a hora da minha formatura e meu baile amanhã
13077,not-hatetag,em saber que os seus detalhes não irão me ceder ou me suprir num novo e possível amanhecer
13078,not-hatetag,boyerxzepeda tem muita gente boa ali orgulho é de mais se ganharem vou pregar na testa
13079,not-hatetag,eu sinto uma necessidade patológica de xingar a beyonce não aceito ela ser tão perfeita
13080,not-hatetag,fui na mariano e comprei um pó para minha cara de desgraça
13081,not-hatetag,fui acordar minha irmã para almoçar e ela sonolenta responde quero like essa criança está viciada em ser youtuber
13082,not-hatetag,luiz adriano no inter eu estou muito iludido
13083,not-hatetag,mal recebi e meu dinheiro já foi
13084,not-hatetag,matheus está aqui comigo coisa mais linda
13085,not-hatetag,artfvilela artur artur voce fica bonzinho
13086,not-hatetag,é um clássico clichezão mesmo porém muito verdade
13087,not-hatetag,alguém usa a maquininha da moderninha quando da problema com o chip comofas
13088,not-hatetag,sigo me emocionando com histórias lindas de outras pessoas deus é top
13089,not-hatetag,sério eu vejo tanto jesus nele
13090,not-hatetag,ler ver aquilo no celular da mari me deu a certeza de que já era
13091,not-hatetag,pjmslife meu deus essa live ja vi  de vzs e não lembrava não dkskakw
13092,not-hatetag,comprei uma roupinha que ficou um nojo em mim cara
13093,not-hatetag,renannão não queremos renan calheiros presidente do senado assine a petição via changebr
13094,not-hatetag,sera que eu vou conseguir sorrir com o coração chorando
13095,not-hatetag,vaguinha que olha os carros fuma mais meus cigarros do que eu
13096,not-hatetag,só saio da casadasprimas se for desse jeito eu
13097,not-hatetag,bifranzosi ue  estou chocadassa porque pensei muito que fosse
13098,not-hatetag,karolinacg aí de voce não passa hein cara
13099,not-hatetag,bmantovani e eu me achando fodao porque faço baliza na subida
13100,not-hatetag,thegamesawards meuspotify futsalnosportv askfandoms nflnaespn womeninmusic astar exnamtv facebookdown facebooklive facebookwatch facebook
13101,not-hatetag,vamos maneirar nas bobeira aí minhas querida
13102,not-hatetag,deusa eu faço isso todo dia
